                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2695,                 1.2781,                 1.2214,                0.64781,                0.47957,                0.51869,                0.30358,                 1.3695,                 1.2321,                 1.2761,             0.00023611,             0.00023611,             0.00023611
                      2,                 1.2427,                0.85342,                 1.2082,                0.43405,                0.44104,                  0.347,                0.19078,                 1.4351,                 3.1808,                 1.3223,             0.00046942,             0.00046942,             0.00046942
                      3,                 1.2942,                 0.8541,                 1.2397,                0.46501,                0.52963,                0.46611,                0.26812,                 1.4469,                 1.1777,                 1.3143,             0.00069801,             0.00069801,             0.00069801
                      4,                 1.2273,                0.80547,                 1.2139,                0.49908,                 0.4556,                0.46158,                0.26587,                 1.4301,                 1.0858,                 1.2915,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.2166,                0.77221,                 1.1991,                0.71148,                0.49462,                0.55009,                0.33231,                 1.4307,                 1.1159,                 1.2733,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1976,                 0.7318,                 1.1843,                0.65964,                0.52228,                0.56135,                0.32637,                 1.3532,                0.89567,                 1.2149,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.1864,                0.74101,                  1.174,                0.69135,                0.63814,                0.65337,                0.37638,                  1.351,                0.91444,                 1.2157,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.1549,                0.70127,                 1.1544,                0.64191,                0.60169,                0.62349,                0.37297,                 1.3237,                0.87315,                 1.1895,             0.00066452,             0.00066452,             0.00066452
                      9,                  1.129,                0.66874,                 1.1445,                0.74223,                0.53061,                0.58768,                0.34356,                 1.2873,                0.89349,                 1.1983,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.1135,                0.63659,                 1.1278,                0.62584,                0.56816,                0.62212,                0.35965,                 1.3084,                0.84177,                 1.1765,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1322,                0.64012,                 1.1434,                0.77949,                0.67328,                0.72801,                0.42317,                 1.2889,                0.74811,                 1.1683,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1028,                0.63673,                 1.1248,                0.74162,                0.60905,                0.67099,                0.39872,                 1.2819,                0.76399,                 1.1876,             0.00063625,             0.00063625,             0.00063625
                     13,                  1.128,                 0.6414,                 1.1312,                0.65471,                0.68844,                0.65553,                0.37786,                 1.2652,                0.73338,                 1.1402,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1068,                0.61894,                  1.131,                0.73789,                0.60177,                0.64586,                0.38977,                 1.2683,                0.74646,                 1.1555,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1016,                0.61458,                 1.1242,                0.79574,                0.60343,                 0.6774,                0.41313,                 1.2311,                0.70177,                 1.1379,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0805,                0.59392,                 1.1151,                0.68712,                0.70704,                0.70797,                0.42415,                 1.2591,                0.70629,                 1.1463,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.0759,                0.59729,                 1.1069,                0.74586,                0.67473,                0.69548,                0.41684,                 1.2733,                0.69742,                 1.1586,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.0619,                0.58319,                 1.0938,                0.75779,                0.69288,                0.70716,                0.40801,                 1.2915,                0.67991,                  1.153,             0.00059383,             0.00059383,             0.00059383
                     19,                  1.063,                0.59043,                 1.1006,                0.76233,                0.68674,                0.67765,                 0.4316,                 1.2639,                0.71544,                 1.1638,             0.00058677,             0.00058677,             0.00058677
                     20,                  1.043,                0.57282,                 1.0876,                0.68592,                0.75782,                0.68723,                0.42806,                 1.2409,                0.67941,                 1.1295,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0545,                0.57736,                 1.1101,                0.76842,                  0.639,                0.66567,                0.40715,                 1.2674,                0.69684,                 1.1482,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0535,                0.57927,                 1.0926,                0.71748,                0.71749,                0.72921,                0.42164,                 1.2479,                0.72418,                 1.1458,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0649,                0.56635,                 1.0896,                 0.7184,                0.59743,                0.66607,                0.40915,                 1.2294,                0.67226,                 1.1396,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.0397,                0.55837,                 1.0936,                0.78557,                0.63846,                0.69165,                 0.4108,                 1.2516,                0.69293,                  1.146,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0359,                0.55317,                 1.0884,                0.75977,                0.63449,                0.69994,                0.43926,                 1.2318,                0.65931,                 1.1242,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.0312,                0.56613,                 1.0938,                0.72752,                0.65565,                0.67232,                0.40642,                 1.2219,                0.64807,                 1.1109,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0415,                0.55033,                  1.087,                 0.7212,                0.72404,                0.72331,                 0.4601,                 1.2124,                0.64164,                 1.1295,             0.00053022,             0.00053022,             0.00053022
                     28,                  1.025,                0.54843,                 1.0741,                0.73249,                0.71759,                0.71063,                0.43932,                 1.1951,                 0.6456,                 1.1177,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0097,                0.53804,                 1.0672,                0.79002,                0.67405,                0.70833,                0.44551,                 1.1965,                0.62655,                 1.1301,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.0313,                0.54394,                 1.0942,                0.78917,                0.67847,                0.72945,                0.44748,                 1.2082,                0.63925,                 1.1217,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.0238,                0.54376,                 1.0824,                0.76941,                0.77301,                0.74226,                0.45683,                 1.1806,                0.63387,                 1.1128,             0.00050194,             0.00050194,             0.00050194
                     32,                  1.014,                0.53034,                 1.0645,                0.65638,                 0.7656,                0.70725,                0.44159,                 1.2159,                0.64722,                 1.1239,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0169,                0.53727,                 1.0758,                0.76462,                0.63322,                0.71827,                 0.4573,                 1.1991,                0.63789,                 1.1168,              0.0004878,              0.0004878,              0.0004878
                     34,                0.99329,                0.53949,                  1.055,                0.74097,                0.79531,                0.75243,                0.46065,                 1.2422,                0.60986,                 1.1366,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.0202,                0.54755,                 1.0614,                0.73815,                0.77231,                 0.7533,                 0.4727,                 1.1933,                0.61704,                   1.11,             0.00047367,             0.00047367,             0.00047367
                     36,                0.99075,                0.51607,                 1.0572,                0.75009,                0.73448,                0.72151,                0.43983,                 1.1875,                0.62815,                 1.1204,              0.0004666,              0.0004666,              0.0004666
                     37,                0.97884,                0.51389,                 1.0638,                0.70761,                0.78263,                0.76398,                0.47038,                 1.1841,                0.61291,                 1.1071,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.0032,                0.52135,                 1.0676,                0.74742,                0.72179,                0.74954,                 0.4766,                 1.1856,                0.61342,                 1.1201,             0.00045246,             0.00045246,             0.00045246
                     39,                0.97772,                0.52274,                 1.0527,                0.71543,                0.69493,                0.68501,                0.43526,                 1.1874,                0.61773,                 1.1287,             0.00044539,             0.00044539,             0.00044539
                     40,                0.98142,                0.51754,                 1.0679,                0.76463,                0.72484,                0.70699,                0.44096,                 1.1854,                0.60466,                 1.1057,             0.00043832,             0.00043832,             0.00043832
                     41,                0.99053,                0.51095,                 1.0657,                0.75533,                0.74523,                0.73678,                0.45441,                 1.1841,                0.61182,                 1.1051,             0.00043126,             0.00043126,             0.00043126
                     42,                0.99361,                0.52068,                 1.0605,                0.76973,                0.71921,                 0.7174,                0.44351,                 1.1815,                0.61377,                 1.1185,             0.00042419,             0.00042419,             0.00042419
                     43,                0.98328,                0.50747,                 1.0587,                0.72597,                0.68934,                0.69503,                  0.432,                  1.209,                0.59229,                 1.1266,             0.00041712,             0.00041712,             0.00041712
                     44,                0.96501,                0.49352,                  1.059,                0.78703,                0.73643,                0.72855,                 0.4417,                 1.1883,                0.61077,                 1.1007,             0.00041005,             0.00041005,             0.00041005
                     45,                0.96806,                0.48452,                 1.0612,                 0.7698,                0.72498,                0.72302,                 0.4526,                 1.2061,                0.62773,                 1.1148,             0.00040298,             0.00040298,             0.00040298
                     46,                0.98443,                0.50639,                 1.0611,                0.73456,                0.76912,                0.71775,                0.43202,                  1.205,                0.60336,                 1.1122,             0.00039591,             0.00039591,             0.00039591
                     47,                0.96303,                0.48147,                 1.0546,                0.74429,                0.73164,                0.71594,                0.43262,                  1.222,                0.60639,                 1.1313,             0.00038884,             0.00038884,             0.00038884
                     48,                0.96814,                0.50062,                 1.0512,                 0.7516,                0.74436,                0.73651,                0.46758,                 1.1865,                0.59432,                 1.1051,             0.00038178,             0.00038178,             0.00038178
                     49,                0.95044,                0.49443,                 1.0423,                0.83734,                0.70365,                0.77369,                0.48519,                 1.1733,                0.58395,                 1.1059,             0.00037471,             0.00037471,             0.00037471
                     50,                0.94056,                0.47583,                  1.038,                 0.7785,                0.78976,                0.74699,                0.46402,                 1.1936,                 0.5927,                 1.1243,             0.00036764,             0.00036764,             0.00036764
                     51,                0.95201,                0.51014,                 1.0612,                0.75761,                0.78071,                0.76742,                0.47923,                 1.1991,                0.60232,                 1.1193,             0.00036057,             0.00036057,             0.00036057
                     52,                0.95487,                0.49025,                 1.0586,                0.76795,                0.82074,                0.76538,                0.47574,                 1.1691,                0.57805,                 1.1063,              0.0003535,              0.0003535,              0.0003535
                     53,                0.96265,                0.49679,                 1.0474,                0.76676,                0.81593,                 0.7633,                0.46819,                 1.1983,                0.58393,                 1.1392,             0.00034643,             0.00034643,             0.00034643
                     54,                0.96245,                0.48563,                 1.0443,                0.76663,                0.79253,                0.73162,                0.47131,                 1.1859,                0.59418,                 1.1249,             0.00033936,             0.00033936,             0.00033936
                     55,                0.93761,                  0.484,                 1.0434,                0.72031,                0.77614,                0.75491,                 0.4692,                 1.1689,                0.59622,                 1.1187,              0.0003323,              0.0003323,              0.0003323
                     56,                0.94409,                0.48006,                 1.0379,                0.79194,                0.79024,                0.77808,                0.48624,                 1.1602,                0.57345,                 1.0963,             0.00032523,             0.00032523,             0.00032523
                     57,                0.93859,                0.48385,                 1.0297,                 0.7863,                0.75357,                0.75093,                0.45743,                 1.1832,                0.57124,                 1.1169,             0.00031816,             0.00031816,             0.00031816
                     58,                0.93497,                0.46241,                 1.0495,                0.72402,                0.79253,                0.74781,                0.45635,                 1.1639,                0.58871,                 1.1078,             0.00031109,             0.00031109,             0.00031109
                     59,                0.93882,                0.47375,                 1.0382,                0.73048,                0.84346,                0.72469,                 0.4356,                 1.1745,                0.58747,                 1.1186,             0.00030402,             0.00030402,             0.00030402
                     60,                0.94694,                0.47521,                 1.0416,                0.76675,                0.83551,                0.74645,                0.46339,                 1.1626,                0.57708,                 1.0999,             0.00029695,             0.00029695,             0.00029695
                     61,                0.92286,                0.45751,                 1.0238,                0.77542,                0.71735,                0.73332,                0.44445,                 1.1833,                0.59385,                 1.1206,             0.00028988,             0.00028988,             0.00028988
                     62,                0.93481,                0.46978,                 1.0328,                0.76729,                0.80037,                0.73963,                0.45048,                 1.1797,                0.57003,                  1.116,             0.00028282,             0.00028282,             0.00028282
                     63,                0.92298,                0.46591,                 1.0316,                0.84842,                0.73163,                0.79614,                0.47939,                 1.1798,                0.57374,                 1.1218,             0.00027575,             0.00027575,             0.00027575
                     64,                0.90472,                0.45255,                 1.0396,                0.77462,                0.80985,                0.75864,                0.47941,                 1.1727,                0.57452,                 1.1207,             0.00026868,             0.00026868,             0.00026868
                     65,                0.92527,                0.45985,                 1.0362,                0.76842,                0.77738,                0.77626,                0.46996,                 1.1694,                0.56984,                 1.1296,             0.00026161,             0.00026161,             0.00026161
                     66,                0.90399,                0.45927,                 1.0273,                0.74227,                0.77956,                0.77251,                0.48587,                 1.1684,                0.55613,                 1.1201,             0.00025454,             0.00025454,             0.00025454
                     67,                0.91152,                0.44585,                 1.0259,                0.77152,                0.72009,                0.74223,                0.46182,                 1.1841,                0.57852,                 1.1143,             0.00024747,             0.00024747,             0.00024747
                     68,                0.90943,                   0.45,                 1.0173,                 0.7186,                0.82759,                0.75866,                0.46581,                 1.1577,                0.56702,                 1.1062,              0.0002404,              0.0002404,              0.0002404
                     69,                0.92867,                0.47273,                 1.0318,                0.73976,                0.81803,                0.75034,                0.46577,                 1.1801,                0.56715,                 1.1221,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.9161,                0.46223,                 1.0167,                0.71765,                0.80094,                0.77782,                0.49541,                 1.1617,                0.57486,                 1.1093,             0.00022627,             0.00022627,             0.00022627
                     71,                0.90497,                0.45199,                 1.0326,                0.71189,                0.83328,                0.76262,                0.47353,                 1.1542,                0.57254,                 1.1155,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.8977,                0.44002,                  1.027,                0.70984,                0.80861,                 0.7428,                0.47729,                 1.1597,                0.57554,                 1.1127,             0.00021213,             0.00021213,             0.00021213
                     73,                0.90394,                0.45569,                 1.0138,                0.78036,                0.74698,                0.73594,                0.47275,                 1.1448,                0.57533,                 1.1065,             0.00020506,             0.00020506,             0.00020506
                     74,                0.90289,                0.44141,                 1.0168,                0.77519,                0.78604,                0.77781,                0.48893,                  1.148,                0.55775,                 1.1133,             0.00019799,             0.00019799,             0.00019799
                     75,                0.90534,                0.43858,                 1.0289,                 0.7344,                 0.8173,                0.74929,                0.45987,                 1.1797,                0.55749,                 1.1307,             0.00019092,             0.00019092,             0.00019092
                     76,                0.88974,                0.43403,                  1.021,                0.76717,                0.82125,                0.79004,                0.48759,                 1.1631,                0.55513,                 1.1096,             0.00018385,             0.00018385,             0.00018385
                     77,                0.87226,                 0.4224,                 1.0119,                0.76203,                0.77388,                0.74181,                0.47703,                 1.1621,                0.57542,                 1.1037,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.8798,                0.42616,                 1.0122,                0.76001,                0.76277,                0.74245,                0.46747,                 1.1686,                0.55999,                 1.1196,             0.00016972,             0.00016972,             0.00016972
                     79,                0.89587,                0.46865,                 1.0106,                0.77808,                0.74134,                0.74334,                0.46593,                 1.1602,                0.54908,                 1.1138,             0.00016265,             0.00016265,             0.00016265
                     80,                0.89319,                0.43495,                 1.0052,                0.76031,                0.75841,                0.75667,                0.47091,                 1.1589,                0.55451,                 1.1226,             0.00015558,             0.00015558,             0.00015558
                     81,                0.86952,                0.42868,                 1.0131,                0.74325,                0.77733,                0.74245,                0.46417,                 1.1862,                0.56261,                 1.1309,             0.00014851,             0.00014851,             0.00014851
                     82,                0.87274,                0.42716,                 1.0072,                0.75601,                0.81074,                0.76123,                0.49403,                 1.1653,                0.56039,                 1.1207,             0.00014144,             0.00014144,             0.00014144
                     83,                 0.8593,                0.42373,                 1.0086,                0.71207,                0.85284,                0.74115,                 0.4515,                 1.1676,                 0.5561,                 1.1192,             0.00013437,             0.00013437,             0.00013437
                     84,                0.85819,                0.41835,                0.99943,                0.76798,                0.75433,                0.75727,                 0.4769,                 1.1558,                0.56719,                 1.1066,             0.00012731,             0.00012731,             0.00012731
                     85,                0.85588,                0.41536,                 1.0035,                0.68982,                0.81513,                0.74505,                0.48558,                 1.1597,                0.55342,                 1.1194,             0.00012024,             0.00012024,             0.00012024
                     86,                0.84458,                0.41151,                0.99332,                0.76842,                0.77274,                0.74421,                0.46681,                 1.1792,                0.55167,                 1.1204,             0.00011317,             0.00011317,             0.00011317
                     87,                0.85023,                0.40861,                 1.0078,                0.79569,                0.72145,                0.75285,                0.46824,                 1.1767,                0.54924,                 1.1253,              0.0001061,              0.0001061,              0.0001061
                     88,                0.85498,                0.41079,                0.99999,                0.71455,                0.78957,                0.75647,                0.48732,                 1.1626,                 0.5411,                 1.1144,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.84876,                0.41853,                 1.0092,                 0.7852,                 0.7191,                0.74621,                0.47129,                 1.1704,                0.55527,                 1.1101,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.86537,                 0.4133,                 1.0166,                0.72016,                0.81407,                0.73921,                0.45661,                 1.1508,                0.54451,                 1.1048,             8.4895e-05,             8.4895e-05,             8.4895e-05
